perturbation,FAR,FRR,Precision,Recall
original,0.1042,0.0963,0.9009,0.9037
brightness_down,0.114,0.1304,0.8889,0.8696
brightness_up,0.1531,0.1708,0.8503,0.8292
contrast_down,0.1238,0.1273,0.8809,0.8727
contrast_up,0.101,0.1242,0.901,0.8758
saturation_down,0.1075,0.118,0.8959,0.882
saturation_up,0.1075,0.1025,0.8975,0.8975
rotate_15,0.1466,0.1491,0.8589,0.8509
rotate_-15,0.1629,0.1335,0.848,0.8665
gaussian_blur,0.1466,0.1087,0.8645,0.8913
color_shift,0.1107,0.118,0.8931,0.882
original,0.085,0.0714,0.92,0.9286
brightness_down,0.1013,0.1025,0.9031,0.8975
brightness_up,0.1209,0.1335,0.8829,0.8665
contrast_down,0.098,0.087,0.9074,0.913
contrast_up,0.0752,0.1056,0.926,0.8944
saturation_down,0.0719,0.0807,0.9308,0.9193
saturation_up,0.0915,0.0776,0.9138,0.9224
rotate_15,0.1046,0.1025,0.9003,0.8975
rotate_-15,0.1242,0.0932,0.8848,0.9068
gaussian_blur,0.0915,0.0745,0.9141,0.9255
color_shift,0.0784,0.0714,0.9257,0.9286
original,0.0915,0.0652,0.9149,0.9348
brightness_down,0.1078,0.0714,0.9006,0.9286
brightness_up,0.1144,0.1056,0.8916,0.8944
contrast_down,0.1078,0.0963,0.8981,0.9037
contrast_up,0.1078,0.0683,0.9009,0.9317
saturation_down,0.085,0.0652,0.9205,0.9348
saturation_up,0.098,0.0621,0.9096,0.9379
rotate_15,0.0784,0.1056,0.9231,0.8944
rotate_-15,0.0817,0.0839,0.9219,0.9161
gaussian_blur,0.1013,0.0776,0.9055,0.9224
color_shift,0.1046,0.0652,0.9039,0.9348
original,0.0684,0.1059,0.9318,0.8941
brightness_down,0.0879,0.0966,0.9148,0.9034
brightness_up,0.0782,0.1433,0.9197,0.8567
contrast_down,0.0977,0.1028,0.9057,0.8972
contrast_up,0.0684,0.109,0.9316,0.891
saturation_down,0.0717,0.0997,0.9293,0.9003
saturation_up,0.0717,0.1059,0.9288,0.8941
rotate_15,0.1042,0.0966,0.9006,0.9034
rotate_-15,0.0977,0.1246,0.9035,0.8754
gaussian_blur,0.0912,0.1184,0.91,0.8816
color_shift,0.0684,0.0997,0.9323,0.9003
original,0.1173,0.1028,0.8889,0.8972
brightness_down,0.1433,0.1028,0.8675,0.8972
brightness_up,0.1433,0.1433,0.8621,0.8567
contrast_down,0.1531,0.0997,0.8601,0.9003
contrast_up,0.1075,0.1277,0.8946,0.8723
saturation_down,0.127,0.0966,0.8815,0.9034
saturation_up,0.1107,0.0997,0.8947,0.9003
rotate_15,0.1531,0.1433,0.854,0.8567
rotate_-15,0.1694,0.109,0.8462,0.891
gaussian_blur,0.1401,0.1121,0.8689,0.8879
color_shift,0.114,0.1059,0.8913,0.8941
original,0.1173,0.1025,0.8892,0.8975
brightness_down,0.1075,0.146,0.8929,0.854
brightness_up,0.1596,0.1708,0.8449,0.8292
contrast_down,0.114,0.1242,0.8896,0.8758
contrast_up,0.1173,0.0994,0.8896,0.9006
saturation_down,0.1075,0.1087,0.8969,0.8913
saturation_up,0.1238,0.0994,0.8841,0.9006
rotate_15,0.127,0.1553,0.8746,0.8447
rotate_-15,0.1433,0.1242,0.865,0.8758
gaussian_blur,0.1466,0.1273,0.862,0.8727
color_shift,0.1238,0.118,0.882,0.882
original,0.0654,0.0901,0.9361,0.9099
brightness_down,0.0784,0.0994,0.9236,0.9006
brightness_up,0.0948,0.1429,0.9049,0.8571
contrast_down,0.1078,0.1056,0.8972,0.8944
contrast_up,0.0556,0.1056,0.9443,0.8944
saturation_down,0.0588,0.0901,0.9421,0.9099
saturation_up,0.0588,0.087,0.9423,0.913
rotate_15,0.1176,0.1211,0.8871,0.8789
rotate_-15,0.0915,0.0932,0.9125,0.9068
gaussian_blur,0.0817,0.0932,0.9211,0.9068
color_shift,0.0556,0.0807,0.9457,0.9193
original,0.1209,0.0932,0.8875,0.9068
brightness_down,0.1307,0.0994,0.8788,0.9006
brightness_up,0.1405,0.146,0.8648,0.854
contrast_down,0.1438,0.1211,0.8654,0.8789
contrast_up,0.1144,0.1118,0.891,0.8882
saturation_down,0.1144,0.0963,0.8926,0.9037
saturation_up,0.1144,0.0932,0.893,0.9068
rotate_15,0.1209,0.1242,0.884,0.8758
rotate_-15,0.1242,0.118,0.882,0.882
gaussian_blur,0.1438,0.0994,0.8683,0.9006
color_shift,0.1242,0.0994,0.8841,0.9006
original,0.1075,0.0935,0.8981,0.9065
brightness_down,0.1173,0.1028,0.8889,0.8972
brightness_up,0.1205,0.1371,0.8822,0.8629
contrast_down,0.1107,0.0935,0.8954,0.9065
contrast_up,0.1173,0.0966,0.8896,0.9034
saturation_down,0.1075,0.0997,0.8975,0.9003
saturation_up,0.114,0.0966,0.8923,0.9034
rotate_15,0.1336,0.0966,0.8761,0.9034
rotate_-15,0.1303,0.0966,0.8788,0.9034
gaussian_blur,0.1336,0.0966,0.8761,0.9034
color_shift,0.0912,0.0935,0.9122,0.9065
original,0.0879,0.1059,0.914,0.8941
brightness_down,0.0879,0.1246,0.9123,0.8754
brightness_up,0.1173,0.1371,0.885,0.8629
contrast_down,0.0912,0.1121,0.9105,0.8879
contrast_up,0.0847,0.109,0.9167,0.891
saturation_down,0.0717,0.1028,0.929,0.8972
saturation_up,0.0977,0.1059,0.9054,0.8941
rotate_15,0.1173,0.0997,0.8892,0.9003
rotate_-15,0.1075,0.1028,0.8972,0.8972
gaussian_blur,0.0945,0.1059,0.9082,0.8941
color_shift,0.1107,0.0997,0.8947,0.9003
