perturbation,CNN_mean,FN_mean,HOG_mean,LBP_mean,CNN_std,FN_std,HOG_std,LBP_std
original,0.5693,0.9081,0.6279,0.5593,0.0097,0.0179,0.0167,0.0208
brightness_down,0.5609,0.8971,0.6076,0.5342,0.0237,0.0172,0.0222,0.0336
brightness_up,0.5554,0.8788,0.6234,0.5492,0.0157,0.0236,0.019,0.0405
contrast_down,0.5591,0.891,0.6104,0.5291,0.0142,0.0173,0.0199,0.0295
contrast_up,0.5735,0.9085,0.6351,0.5607,0.0097,0.0198,0.0177,0.0412
saturation_down,0.5532,0.9116,0.6263,0.5596,0.0118,0.0209,0.0172,0.025
saturation_up,0.5775,0.9062,0.6276,0.5672,0.0129,0.0181,0.0162,0.0262
rotate_15,0.5291,0.8848,0.5341,0.3555,0.1905,0.0205,0.028,0.3179
rotate_-15,0.5167,0.884,0.5846,0.3762,0.1051,0.0256,0.0647,0.3343
gaussian_blur,0.5512,0.8899,0.6149,0.5282,0.0164,0.0237,0.0236,0.0245
color_shift,0.5683,0.9065,0.6293,0.5656,0.012,0.0218,0.0166,0.0218
